algoritmo,ensaio,densidade,nvertices,tempo,memoria
kruskal,1,0.3,250,0.054810,82.90
kruskal,2,0.3,250,0.058103,83.67
kruskal,3,0.3,250,0.060617,83.72
kruskal,4,0.3,250,0.061232,83.33
kruskal,5,0.3,250,0.059642,83.13
kruskal,6,0.3,250,0.062307,83.07
kruskal,7,0.3,250,0.060249,83.71
kruskal,8,0.3,250,0.058270,83.12
kruskal,9,0.3,250,0.057225,83.75
kruskal,10,0.3,250,0.063997,83.69
kruskal,1,0.3,500,0.138812,96.58
kruskal,2,0.3,500,0.132132,96.43
kruskal,3,0.3,500,0.130960,96.48
kruskal,4,0.3,500,0.131753,96.82
kruskal,5,0.3,500,0.126076,96.45
kruskal,6,0.3,500,0.132677,96.20
kruskal,7,0.3,500,0.129496,95.98
kruskal,8,0.3,500,0.132889,96.88
kruskal,9,0.3,500,0.130049,95.88
kruskal,10,0.3,500,0.133478,96.30
kruskal,1,0.6,250,0.057968,87.04
kruskal,2,0.6,250,0.056961,87.21
kruskal,3,0.6,250,0.059505,86.83
kruskal,4,0.6,250,0.060524,87.05
kruskal,5,0.6,250,0.061125,87.62
kruskal,6,0.6,250,0.060869,86.98
kruskal,7,0.6,250,0.060760,86.86
kruskal,8,0.6,250,0.059576,86.88
kruskal,9,0.6,250,0.057819,87.50
kruskal,10,0.6,250,0.054311,87.32
kruskal,1,0.6,500,0.256704,113.10
kruskal,2,0.6,500,0.254524,113.17
kruskal,3,0.6,500,0.239854,112.71
kruskal,4,0.6,500,0.241533,112.92
kruskal,5,0.6,500,0.246906,112.68
kruskal,6,0.6,500,0.242700,113.16
kruskal,7,0.6,500,0.243222,113.43
kruskal,8,0.6,500,0.278094,112.61
kruskal,9,0.6,500,0.247532,113.39
kruskal,10,0.6,500,0.278987,113.04
kruskal,1,0.9,250,0.106942,91.29
kruskal,2,0.9,250,0.111650,91.82
kruskal,3,0.9,250,0.105343,91.39
kruskal,4,0.9,250,0.113871,91.47
kruskal,5,0.9,250,0.100142,91.91
kruskal,6,0.9,250,0.108335,92.08
kruskal,7,0.9,250,0.105998,92.11
kruskal,8,0.9,250,0.109062,92.09
kruskal,9,0.9,250,0.113348,91.78
kruskal,10,0.9,250,0.111097,92.04
kruskal,1,0.9,500,0.356085,132.32
kruskal,2,0.9,500,0.353338,131.63
kruskal,3,0.9,500,0.365476,132.11
kruskal,4,0.9,500,0.359864,131.71
kruskal,5,0.9,500,0.371113,132.29
kruskal,6,0.9,500,0.399635,132.30
kruskal,7,0.9,500,0.365866,131.96
kruskal,8,0.9,500,0.358039,132.04
kruskal,9,0.9,500,0.353647,131.61
kruskal,10,0.9,500,0.370058,132.28
kruskal,1,1,250,0.111158,92.45
kruskal,2,1,250,0.110015,92.41
kruskal,3,1,250,0.108699,92.23
kruskal,4,1,250,0.109456,92.55
kruskal,5,1,250,0.107226,92.37
kruskal,6,1,250,0.118915,92.67
kruskal,7,1,250,0.107816,92.79
kruskal,8,1,250,0.107227,92.68
kruskal,9,1,250,0.112486,92.43
kruskal,10,1,250,0.110907,92.70
kruskal,1,1,500,0.211734,134.43
kruskal,2,1,500,0.209900,133.54
kruskal,3,1,500,0.211640,135.25
kruskal,4,1,500,0.230199,135.36
kruskal,5,1,500,0.216173,135.67
kruskal,6,1,500,0.376996,136.37
kruskal,7,1,500,0.218536,135.37
kruskal,8,1,500,0.211592,135.17
kruskal,9,1,500,0.378302,136.04
kruskal,10,1,500,0.392141,136.44
kruskal,1,0.3,1000,0.28,148.05
kruskal,2,0.3,1000,0.29,148.05
kruskal,3,0.3,1000,0.28,148.20
